ccm,scm,usm,coords
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
237,200,163,"[[65278, 65278], [65278, 14915], [25948, 20602], [29281, 23659]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
92,177,164,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[42161, 60856], [41928, 56761], [12380, 24371], [17747, 22098]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[0, 607], [0, 768], [0, 41296], [700, 1]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
86,69,82,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[29295, 24427], [27988, 23664], [42161, 60856], [41928, 56761]]"
0,0,0,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
92,177,164,"[[65278, 14917], [26972, 29543], [29535, 28278], [25695, 29793]]"
254,254,254,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
0,0,0,"[[65278, 65278], [65278, 65278], [65278, 65278], [65278, 65278]]"
0,0,1,"[[333, 941], [332, 900], [353, 900], [353, 942]]"
0,0,2,"[[305, 941], [304, 900], [325, 900], [325, 942]]"
0,0,3,"[[277, 941], [276, 900], [297, 900], [297, 942]]"
0,0,4,"[[251, 941], [250, 900], [271, 900], [271, 942]]"
0,0,5,"[[196, 965], [195, 945], [237, 945], [237, 966]]"
0,0,6,"[[196, 984], [195, 964], [237, 964], [237, 985]]"
0,0,7,"[[196, 1003], [195, 983], [237, 983], [237, 1004]]"
0,0,8,"[[196, 1031], [195, 1011], [237, 1011], [237, 1032]]"
0,0,9,"[[196, 1051], [195, 1031], [237, 1031], [237, 1052]]"
0,0,10,"[[306, 1040], [305, 999], [326, 999], [326, 1041]]"
0,0,11,"[[326, 1040], [325, 999], [346, 999], [346, 1041]]"
0,0,12,"[[347, 1040], [346, 999], [367, 999], [367, 1041]]"
0,0,13,"[[374, 1040], [373, 999], [394, 999], [394, 1041]]"
0,0,14,"[[394, 1040], [393, 999], [414, 999], [414, 1041]]"
0,0,15,"[[415, 1040], [414, 999], [435, 999], [435, 1041]]"
0,0,16,"[[442, 1040], [441, 999], [462, 999], [462, 1041]]"
0,0,17,"[[462, 1040], [461, 999], [482, 999], [482, 1041]]"
0,0,18,"[[482, 1040], [481, 999], [502, 999], [502, 1041]]"
0,0,19,"[[508, 1040], [507, 999], [528, 999], [528, 1041]]"
0,0,20,"[[527, 1040], [526, 999], [547, 999], [547, 1041]]"
0,0,21,"[[550, 1041], [549, 1000], [570, 1000], [570, 1042]]"
0,0,22,"[[550, 1084], [549, 1043], [570, 1043], [570, 1085]]"
0,0,23,"[[528, 1084], [527, 1043], [548, 1043], [548, 1085]]"
0,0,24,"[[508, 1084], [507, 1043], [528, 1043], [528, 1085]]"
0,0,25,"[[483, 1084], [482, 1043], [503, 1043], [503, 1085]]"
0,0,26,"[[463, 1084], [462, 1043], [483, 1043], [483, 1085]]"
0,0,27,"[[442, 1084], [441, 1043], [462, 1043], [462, 1085]]"
0,0,28,"[[416, 1084], [415, 1043], [436, 1043], [436, 1085]]"
0,0,29,"[[394, 1084], [393, 1043], [414, 1043], [414, 1085]]"
0,0,30,"[[373, 1084], [372, 1043], [393, 1043], [393, 1085]]"
0,0,31,"[[347, 1084], [346, 1043], [367, 1043], [367, 1085]]"
0,0,32,"[[326, 1084], [325, 1043], [346, 1043], [346, 1085]]"
0,0,33,"[[307, 1084], [306, 1043], [327, 1043], [327, 1085]]"
0,0,34,"[[509, 1180], [508, 1139], [529, 1139], [529, 1181]]"
0,0,35,"[[529, 1180], [528, 1139], [549, 1139], [549, 1181]]"
0,0,36,"[[549, 1180], [548, 1139], [569, 1139], [569, 1181]]"
0,0,37,"[[576, 1180], [575, 1139], [596, 1139], [596, 1181]]"
0,0,38,"[[637, 1067], [636, 1047], [678, 1047], [678, 1068]]"
0,0,39,"[[648, 1045], [647, 1004], [668, 1004], [668, 1046]]"
0,0,40,"[[667, 1045], [666, 1004], [687, 1004], [687, 1046]]"
0,0,41,"[[686, 1045], [685, 1004], [706, 1004], [706, 1046]]"
0,0,42,"[[706, 1045], [705, 1004], [726, 1004], [726, 1046]]"
0,0,43,"[[714, 1050], [740, 1039], [746, 1056], [718, 1067]]"
0,0,44,"[[721, 1067], [747, 1056], [753, 1073], [725, 1084]]"
0,0,45,"[[719, 1092], [753, 1078], [759, 1095], [723, 1109]]"
0,0,46,"[[726, 1111], [760, 1097], [766, 1114], [730, 1128]]"
0,0,47,"[[733, 1129], [767, 1115], [773, 1132], [737, 1146]]"
0,0,48,"[[734, 1179], [733, 1159], [775, 1159], [775, 1180]]"
0,0,49,"[[734, 1207], [733, 1187], [775, 1187], [775, 1208]]"
0,0,50,"[[734, 1253], [733, 1233], [775, 1233], [775, 1254]]"
0,0,51,"[[734, 1275], [733, 1255], [775, 1255], [775, 1276]]"
0,0,52,"[[734, 1307], [733, 1287], [775, 1287], [775, 1308]]"
0,0,53,"[[751, 1359], [750, 1318], [771, 1318], [771, 1360]]"
0,0,54,"[[732, 1359], [731, 1318], [752, 1318], [752, 1360]]"
0,0,55,"[[711, 1359], [710, 1318], [731, 1318], [731, 1360]]"
0,0,56,"[[682, 1359], [681, 1318], [702, 1318], [702, 1360]]"
0,0,57,"[[394, 941], [393, 900], [414, 900], [414, 942]]"
0,0,58,"[[415, 941], [414, 900], [435, 900], [435, 942]]"
0,0,59,"[[439, 941], [438, 900], [459, 900], [459, 942]]"
0,0,60,"[[459, 941], [458, 900], [479, 900], [479, 942]]"
0,0,61,"[[481, 941], [480, 900], [501, 900], [501, 942]]"
0,0,62,"[[507, 941], [506, 900], [527, 900], [527, 942]]"
0,0,63,"[[527, 941], [526, 900], [547, 900], [547, 942]]"
0,0,64,"[[549, 941], [548, 900], [569, 900], [569, 942]]"
0,0,65,"[[573, 941], [572, 900], [593, 900], [593, 942]]"
0,0,66,"[[595, 941], [594, 900], [615, 900], [615, 942]]"
0,1,0,"[[615, 941], [614, 900], [635, 900], [635, 942]]"
0,1,1,"[[652, 918], [689, 904], [696, 924], [656, 938]]"
0,1,2,"[[646, 901], [683, 887], [690, 907], [650, 921]]"
0,1,3,"[[639, 883], [676, 869], [683, 889], [643, 903]]"
0,1,4,"[[628, 855], [665, 841], [672, 861], [632, 875]]"
0,1,5,"[[621, 836], [658, 822], [665, 842], [625, 856]]"
0,1,6,"[[615, 819], [652, 805], [659, 825], [619, 839]]"
0,1,7,"[[603, 791], [640, 777], [647, 797], [607, 811]]"
0,1,8,"[[597, 774], [634, 760], [641, 780], [601, 794]]"
0,1,9,"[[589, 755], [626, 741], [633, 761], [593, 775]]"
0,1,10,"[[580, 731], [617, 717], [624, 737], [584, 751]]"
0,1,11,"[[574, 712], [611, 698], [618, 718], [578, 732]]"
0,1,12,"[[566, 694], [603, 680], [610, 700], [570, 714]]"
0,1,13,"[[554, 666], [591, 652], [598, 672], [558, 686]]"
0,1,14,"[[547, 648], [584, 634], [591, 654], [551, 668]]"
0,1,15,"[[540, 629], [577, 615], [584, 635], [544, 649]]"
0,1,16,"[[530, 600], [567, 586], [574, 606], [534, 620]]"
0,1,17,"[[523, 583], [560, 569], [567, 589], [527, 603]]"
0,1,18,"[[517, 564], [554, 550], [561, 570], [521, 584]]"
0,1,19,"[[507, 539], [544, 525], [551, 545], [511, 559]]"
0,1,20,"[[501, 522], [538, 508], [545, 528], [505, 542]]"
0,1,21,"[[495, 504], [532, 490], [539, 510], [499, 524]]"
0,1,22,"[[484, 479], [521, 465], [528, 485], [488, 499]]"
0,1,23,"[[495, 423], [509, 459], [490, 467], [474, 428]]"
0,1,24,"[[478, 430], [492, 466], [473, 474], [457, 435]]"
0,1,25,"[[436, 446], [450, 482], [431, 490], [415, 451]]"
0,1,26,"[[417, 453], [431, 489], [412, 497], [396, 458]]"
0,1,27,"[[367, 522], [366, 502], [408, 502], [408, 523]]"
0,1,28,"[[367, 548], [366, 528], [408, 528], [408, 549]]"
0,1,29,"[[367, 582], [366, 562], [408, 562], [408, 583]]"
0,1,30,"[[367, 611], [366, 591], [408, 591], [408, 612]]"
0,1,31,"[[367, 672], [366, 652], [408, 652], [408, 673]]"
0,1,32,"[[278, 694], [277, 653], [298, 653], [298, 695]]"
0,1,33,"[[257, 694], [256, 653], [277, 653], [277, 695]]"
0,1,34,"[[236, 694], [235, 653], [256, 653], [256, 695]]"
0,1,35,"[[211, 694], [210, 653], [231, 653], [231, 695]]"
0,1,36,"[[190, 694], [189, 653], [210, 653], [210, 695]]"
0,1,37,"[[170, 694], [169, 653], [190, 653], [190, 695]]"
0,1,38,"[[279, 652], [278, 611], [299, 611], [299, 653]]"
0,1,39,"[[257, 652], [256, 611], [277, 611], [277, 653]]"
0,1,40,"[[237, 652], [236, 611], [257, 611], [257, 653]]"
0,1,41,"[[209, 652], [208, 611], [229, 611], [229, 653]]"
0,1,42,"[[190, 652], [189, 611], [210, 611], [210, 653]]"
0,1,43,"[[170, 652], [169, 611], [190, 611], [190, 653]]"
0,1,44,"[[2, 641], [1, 621], [43, 621], [43, 642]]"
0,1,45,"[[2, 611], [1, 591], [43, 591], [43, 612]]"
0,1,46,"[[2, 594], [1, 574], [43, 574], [43, 595]]"
0,1,47,"[[3, 574], [2, 554], [44, 554], [44, 575]]"
0,1,48,"[[56, 482], [73, 475], [87, 514], [68, 522]]"
0,1,49,"[[81, 472], [98, 465], [112, 504], [93, 512]]"
0,1,50,"[[114, 459], [131, 452], [145, 491], [126, 499]]"
0,1,51,"[[140, 450], [157, 443], [171, 482], [152, 490]]"
0,1,52,"[[168, 438], [185, 431], [199, 470], [180, 478]]"
0,1,53,"[[185, 432], [202, 425], [216, 464], [197, 472]]"
0,1,54,"[[161, 791], [141, 789], [142, 747], [163, 748]]"
0,1,55,"[[188, 791], [168, 789], [169, 747], [190, 748]]"
0,1,56,"[[208, 791], [188, 789], [189, 747], [210, 748]]"
0,1,57,"[[229, 791], [209, 789], [210, 747], [231, 748]]"
0,1,58,"[[254, 791], [234, 789], [235, 747], [256, 748]]"
0,5,2,"[[275, 791], [255, 789], [256, 747], [277, 748]]"
0,2,1,"[[1290, 952], [1289, 911], [1310, 911], [1310, 953]]"
0,2,2,"[[835, 1477], [834, 1457], [876, 1457], [876, 1478]]"
0,2,3,"[[835, 1456], [834, 1436], [876, 1436], [876, 1457]]"
0,2,4,"[[835, 1434], [834, 1414], [876, 1414], [876, 1435]]"
0,2,5,"[[835, 1408], [834, 1388], [876, 1388], [876, 1409]]"
0,2,6,"[[835, 1388], [834, 1368], [876, 1368], [876, 1389]]"
0,2,7,"[[835, 1369], [834, 1349], [876, 1349], [876, 1370]]"
0,2,8,"[[835, 1341], [834, 1321], [876, 1321], [876, 1342]]"
0,2,9,"[[835, 1322], [834, 1302], [876, 1302], [876, 1323]]"
0,2,10,"[[835, 1302], [834, 1282], [876, 1282], [876, 1303]]"
0,2,11,"[[835, 1273], [834, 1253], [876, 1253], [876, 1274]]"
0,2,12,"[[835, 1254], [834, 1234], [876, 1234], [876, 1255]]"
0,2,13,"[[835, 1234], [834, 1214], [876, 1214], [876, 1235]]"
0,2,14,"[[880, 1477], [879, 1457], [921, 1457], [921, 1478]]"
0,2,15,"[[880, 1457], [879, 1437], [921, 1437], [921, 1458]]"
0,2,16,"[[880, 1435], [879, 1415], [921, 1415], [921, 1436]]"
0,2,17,"[[880, 1408], [879, 1388], [921, 1388], [921, 1409]]"
0,2,18,"[[880, 1388], [879, 1368], [921, 1368], [921, 1389]]"
0,2,19,"[[880, 1368], [879, 1348], [921, 1348], [921, 1369]]"
0,2,20,"[[880, 1342], [879, 1322], [921, 1322], [921, 1343]]"
0,2,21,"[[880, 1321], [879, 1301], [921, 1301], [921, 1322]]"
0,2,22,"[[880, 1303], [879, 1283], [921, 1283], [921, 1304]]"
0,2,23,"[[880, 1275], [879, 1255], [921, 1255], [921, 1276]]"
0,2,24,"[[880, 1254], [879, 1234], [921, 1234], [921, 1255]]"
0,2,25,"[[880, 1234], [879, 1214], [921, 1214], [921, 1235]]"
0,2,26,"[[751, 1410], [769, 1408], [770, 1450], [749, 1451]]"
0,2,27,"[[731, 1410], [749, 1408], [750, 1450], [729, 1451]]"
0,2,28,"[[710, 1410], [728, 1408], [729, 1450], [708, 1451]]"
0,2,29,"[[676, 1410], [694, 1408], [695, 1450], [674, 1451]]"
0,2,30,"[[646, 1410], [664, 1408], [665, 1450], [644, 1451]]"
0,2,31,"[[608, 1410], [626, 1408], [627, 1450], [606, 1451]]"
0,2,32,"[[581, 1410], [599, 1408], [600, 1450], [579, 1451]]"
0,2,33,"[[548, 1410], [566, 1408], [567, 1450], [546, 1451]]"
0,2,34,"[[529, 1410], [547, 1408], [548, 1450], [527, 1451]]"
0,2,35,"[[509, 1410], [527, 1408], [528, 1450], [507, 1451]]"
0,2,36,"[[483, 1410], [501, 1408], [502, 1450], [481, 1451]]"
0,2,37,"[[460, 1410], [478, 1408], [479, 1450], [458, 1451]]"
0,2,38,"[[870, 1140], [869, 1120], [911, 1120], [911, 1141]]"
0,2,39,"[[870, 1120], [869, 1100], [911, 1100], [911, 1121]]"
0,2,40,"[[870, 1098], [869, 1078], [911, 1078], [911, 1099]]"
0,2,41,"[[870, 1073], [869, 1053], [911, 1053], [911, 1074]]"
0,2,42,"[[870, 1053], [869, 1033], [911, 1033], [911, 1054]]"
0,2,43,"[[870, 1032], [869, 1012], [911, 1012], [911, 1033]]"
0,2,44,"[[828, 1139], [827, 1119], [869, 1119], [869, 1140]]"
0,2,45,"[[828, 1118], [827, 1098], [869, 1098], [869, 1119]]"
0,2,46,"[[828, 1098], [827, 1078], [869, 1078], [869, 1099]]"
0,2,47,"[[852, 1041], [858, 1058], [819, 1073], [811, 1053]]"
0,2,48,"[[846, 1022], [852, 1039], [813, 1054], [805, 1034]]"
0,2,49,"[[965, 1031], [964, 1011], [1006, 1011], [1006, 1032]]"
0,2,50,"[[965, 1051], [964, 1031], [1006, 1031], [1006, 1052]]"
0,2,51,"[[965, 1071], [964, 1051], [1006, 1051], [1006, 1072]]"
0,2,52,"[[1009, 1031], [1008, 1011], [1050, 1011], [1050, 1032]]"
0,2,53,"[[1009, 1051], [1008, 1031], [1050, 1031], [1050, 1052]]"
0,2,54,"[[1009, 1072], [1008, 1052], [1050, 1052], [1050, 1073]]"
0,2,55,"[[777, 907], [795, 905], [796, 947], [775, 948]]"
0,2,56,"[[797, 907], [815, 905], [816, 947], [795, 948]]"
0,2,57,"[[816, 907], [834, 905], [835, 947], [814, 948]]"
0,2,58,"[[850, 907], [868, 905], [869, 947], [848, 948]]"
0,2,59,"[[877, 907], [895, 905], [896, 947], [875, 948]]"
0,2,60,"[[931, 907], [949, 905], [950, 947], [929, 948]]"
0,2,61,"[[950, 907], [968, 905], [969, 947], [948, 948]]"
0,2,62,"[[986, 907], [1004, 905], [1005, 947], [984, 948]]"
0,2,63,"[[1004, 907], [1022, 905], [1023, 947], [1002, 948]]"
0,2,64,"[[1045, 907], [1063, 905], [1064, 947], [1043, 948]]"
0,3,0,"[[1066, 907], [1084, 905], [1085, 947], [1064, 948]]"
0,3,1,"[[979, 1443], [998, 1441], [999, 1483], [977, 1484]]"
0,3,2,"[[999, 1443], [1017, 1441], [1018, 1483], [997, 1484]]"
0,3,3,"[[1020, 1443], [1038, 1441], [1039, 1483], [1018, 1484]]"
0,3,4,"[[1045, 1443], [1063, 1441], [1064, 1483], [1043, 1484]]"
0,3,5,"[[1067, 1443], [1085, 1441], [1086, 1483], [1065, 1484]]"
0,3,6,"[[1088, 1443], [1106, 1441], [1107, 1483], [1086, 1484]]"
0,3,7,"[[1132, 1443], [1150, 1441], [1151, 1483], [1130, 1484]]"
0,3,8,"[[1156, 1443], [1174, 1441], [1175, 1483], [1154, 1484]]"
0,3,9,"[[1187, 1443], [1205, 1441], [1206, 1483], [1185, 1484]]"
0,3,10,"[[1213, 1443], [1231, 1441], [1232, 1483], [1211, 1484]]"
0,3,11,"[[1254, 1446], [1272, 1444], [1273, 1486], [1252, 1487]]"
0,3,12,"[[1275, 1486], [1274, 1456], [1291, 1456], [1291, 1487]]"
0,3,13,"[[1292, 1486], [1291, 1456], [1308, 1456], [1308, 1487]]"
0,3,14,"[[1316, 1486], [1315, 1456], [1332, 1456], [1332, 1487]]"
0,3,15,"[[1332, 1486], [1331, 1456], [1348, 1456], [1348, 1487]]"
0,3,16,"[[1348, 1486], [1347, 1456], [1364, 1456], [1364, 1487]]"
0,3,17,"[[1437, 1436], [1465, 1434], [1466, 1451], [1435, 1452]]"
0,3,18,"[[1437, 1416], [1476, 1414], [1477, 1435], [1435, 1436]]"
0,3,19,"[[1437, 1388], [1476, 1386], [1477, 1407], [1435, 1408]]"
0,3,20,"[[1437, 1369], [1476, 1367], [1477, 1388], [1435, 1389]]"
0,3,21,"[[1437, 1350], [1476, 1348], [1477, 1369], [1435, 1370]]"
0,3,22,"[[1437, 1316], [1476, 1314], [1477, 1335], [1435, 1336]]"
0,3,23,"[[1437, 1289], [1476, 1287], [1477, 1308], [1435, 1309]]"
